lemma	pos	alternation	flags	surface	krdict_ids	stdict_ids	opendict_ids	status
가공스럽다	VA	BToWo				308:308001	338754:1	productive-duplicate
가관스럽다	VA	BToWo				95:95001	2886:1|31236:1	productive-duplicate
가긍스럽다	VA	BToWo				387301:387301001	375403:1	productive-duplicate
가깝다	VA	BToWo			65200	385349:385349001	31506:1|31777:1|62354:1|62762:1|72852:1|72853:1	promoted
가깝디가깝다	VA	BToWo				387:387001	72854:1	review
가년스럽다	VA	BToWo				648:648001	559365:1	productive-duplicate
가느다랗다	VA	DropH			28097	341:341001	73779:1	promoted
가느닿다	VA	DropH				342:342001	73780:1	review
가닥스럽다	VA	BToWo					616531:1	productive-duplicate
가닿다	VV	Regular				1848:1848001	441068:1	regular-control
가량스럽다	VA	BToWo				960:960001	73738:1	productive-duplicate
가려듣다	VV	DToL				386073:386073001	73751:1	core-duplicate
가려잡다	VV	Regular				21:21001	367626:1|370930:1	regular-control
가련스럽다	VA	BToWo					725118:1	productive-duplicate
가렵다	VA	BToWo			14974	526:526001	485926:1|589678:1	promoted
가로놓다	VV	Regular			14990	385801:385801001	73915:1	regular-control
가로눕다	VV	BToWo			15001	1798:1798001	2368:1|32314:1	promoted
가로닫다	VV	DToL				966:966001	73967:1	review
가로잡다	VV	Regular				829:829001	2320:1	regular-control
가로젓다	VV	DropS			14982	390268:390268001	551380:1|554722:1	promoted
가로지르다	VV	ReuDoubleL			15004	390272:390272001	404081:1|407468:1	promoted
가르다	VV	ReuDoubleL			16345	387739:387739001	30544:1|61925:1|69015:1|71584:1|73487:1	promoted
가린스럽다	VA	BToWo				383018:383018001	412050:1	productive-duplicate
가마발갛다	VA	DropH				775:775001	73988:1	review
가맣다	VA	DropH			15381	387918:387918001	404107:1|407501:1	promoted
가볍다	VA	BToWo			26788	510305:510305001	589783:1|589784:1|589785:1|589786:1|589787:1|589788:1|589789:1|589792:1|589794:1|589795:1|589796:1|589797:1|589798:1	core-duplicate
가볍디가볍다	VA	BToWo				1969:1969001	74800:1	review
가살스럽다	VA	BToWo				2611:2611001	74424:1	productive-duplicate
가상스럽다	VA	BToWo				383287:383287001	338905:1	productive-duplicate
가새지르다	VV	ReuDoubleL				2287:2287001	522698:1	review
가소롭다	VA	BToWo			14625	2663:2663001	486042:1	productive-duplicate
가엽다	VA	BToWo			16303	3632:3632001	449236:1	promoted
가즈럽다	VA	BToWo				4227:4227001	75932:1	review
가증스럽다	VA	BToWo			26184	387027:387027001	449414:1	productive-duplicate
가탄스럽다	VA	BToWo				390176:390176001	338975:1	productive-duplicate
가탈스럽다	VA	BToWo				3588:3588001	1268266:1|375626:1	productive-duplicate
가파르다	VA	ReuDoubleL			14238	387146:387146001	75212:1	promoted
각박스럽다	VA	BToWo				4525:4525001	76366:1	productive-duplicate
간거르다	VV	ReuDoubleL				390441:390441001	76573:1	review
간고르다	VV	ReuDoubleL				4768:4768001	559697:1	review
간고스럽다	VA	BToWo				4773:4773001	76702:1	productive-duplicate
간교스럽다	VA	BToWo				5029:5029001	76769:1	productive-duplicate
