lemma	pos	alternation	flags	overrides	derivations
가깝다	VA	BToWo			
가느다랗다	VA	DropH			
가렵다	VA	BToWo			
가로눕다	VV	BToWo			
가로젓다	VV	DropS			
가로지르다	VV	ReuDoubleL			
가르다	VV	ReuDoubleL			
가맣다	VA	DropH			
가엽다	VA	BToWo			
가파르다	VA	ReuDoubleL			
간지럽다	VA	BToWo			
강마르다	VA	ReuDoubleL			
거르다	VV	ReuDoubleL			
거스르다	VV	ReuDoubleL			
건너지르다	VV	ReuDoubleL			
검푸르다	VA	Reo			
게으르다	VA	ReuDoubleL			
결론짓다	VV	DropS			
결정짓다	VV	DropS			
겹다	VA	BToWo			
고깝다	VA	BToWo			
고렇다	VA	DropH			
고르다	VA	ReuDoubleL			
고르다	VV	ReuDoubleL			
고맙다	VA	BToWo			
곧바르다	VA	ReuDoubleL			
곧이듣다	VV	DToL			
곱다	VA	BToWa			
곱다	VA	Regular			
곱다랗다	VA	DropH			
곱디곱다	VA	BToWa			
관련짓다	VV	DropS			
괴어오르다	VV	ReuDoubleL			
구르다	VV	ReuDoubleL			
굵다랗다	VA	DropH			
굽다	VV	BToWo			
굽다	VV	Regular			
귀담아듣다	VV	DToL			
귀엽다	VA	BToWo			
규정짓다	VV	DropS			
그르다	VA	ReuDoubleL			
그르다	VV	ReuDoubleL			
그립다	VA	BToWo			
근지럽다	VA	BToWo			
긋다	VV	DropS			
기껍다	VA	BToWo			
기다랗다	VA	DropH			
기르다	VV	ReuDoubleL			
기어오르다	VV	ReuDoubleL			
긷다	VV	DToL			
깁다	VV	BToWo			
깊다랗다	VA	DropH			
까맣다	VA	DropH			
까부르다	VV	ReuDoubleL			
깡마르다	VA	ReuDoubleL			
깨닫다	VV	DToL			
껄끄럽다	VA	BToWo			
꼴사납다	VA	BToWo			
끄르다	VV	ReuDoubleL			
끓어오르다	VV	ReuDoubleL			
나르다	VV	ReuDoubleL			
날아오르다	VV	ReuDoubleL			
남다르다	VA	ReuDoubleL			
남모르다	VV	ReuDoubleL			
남부끄럽다	VA	BToWo			
낫다	VV	DropS			
낯간지럽다	VA	BToWo			
낯모르다	VV	ReuDoubleL			
낯부끄럽다	VA	BToWo			
내닫다	VV	DToL			
내두르다	VV	ReuDoubleL			
내리긋다	VV	DropS			
내리누르다	VV	ReuDoubleL			
내리붓다	VV	DropS			
내리지르다	VV	ReuDoubleL			
내리퍼붓다	VV	DropS			
내젓다	VV	DropS			
내지르다	VV	ReuDoubleL			
내휘두르다	VV	ReuDoubleL			
너그럽다	VA	BToWo			
너르다	VA	ReuDoubleL			
널따랗다	VA	DropH			
넘쳐흐르다	VV	ReuDoubleL			
노랗다	VA	DropH			
노엽다	VA	BToWo			
놀랍다	VA	BToWo			
농사짓다	VV	DropS			
높다랗다	VA	DropH			
높푸르다	VA	Reo			
놓아기르다	VV	ReuDoubleL			
눈꼴사납다	VA	BToWo			
눈물겹다	VA	BToWo			
눈물짓다	VV	DropS			
눋다	VV	DToL			
느껍다	VA	BToWo			
달갑다	VA	BToWo			
달아오르다	VV	ReuDoubleL			
댕그랗다	VA	DropH			
더럽다	VA	BToWo			
덥다	VA	BToWo			
덧바르다	VV	ReuDoubleL			
덩그맣다	VA	DropH			
돌아눕다	VV	BToWo			
동그랗다	VA	DropH			
되묻다	VV	DToL			
두껍다	VA	BToWo			
두렵다	VA	BToWo			
두르다	VV	ReuDoubleL			
두텁다	VA	BToWo			
뒤잇다	VV	DropS			
드러눕다	VV	BToWo			
듣잡다	VV	BToWa			
들어붓다	VV	DropS			
들이붓다	VV	DropS			
따갑다	VA	BToWo			
따습다	VA	BToWo			
떠오르다	VV	ReuDoubleL			
똑바르다	VA	ReuDoubleL			
똥그랗다	VA	DropH			
뛰어오르다	VV	ReuDoubleL			
뜨겁다	VA	BToWo			
마렵다	VA	BToWo			
마르다	VV	ReuDoubleL			
말갛다	VA	DropH			
매끄럽다	VA	BToWo			
매듭짓다	VV	DropS			
매섭다	VA	BToWo			
매스껍다	VA	BToWo			
맵다	VA	BToWo			
맵디맵다	VA	BToWo			
머무르다	VV	ReuDoubleL			
멋모르다	VV	ReuDoubleL			
메마르다	VA	ReuDoubleL			
메스껍다	VA	BToWo			
목마르다	VA	ReuDoubleL			
목마르다	VV	ReuDoubleL			
몸져눕다	VV	BToWo			
무덥다	VA	BToWo			
무르다	VA	ReuDoubleL			
무르다	VV	ReuDoubleL			
무찌르다	VV	ReuDoubleL			
문지르다	VV	ReuDoubleL			
물오르다	VV	ReuDoubleL			
미끄럽다	VA	BToWo			
미덥다	VA	BToWo			
밉다	VA	BToWo			
바르다	VA	ReuDoubleL			
바르다	VV	ReuDoubleL			
반갑다	VA	BToWo			
받잡다	VV	BToWa			
발갛다	VA	DropH			
배부르다	VA	ReuDoubleL			
버겁다	VA	BToWo			
벅차오르다	VV	ReuDoubleL			
벼르다	VV	ReuDoubleL			
보드랍다	VA	BToWo			
보얗다	VA	DropH			
볼썽사납다	VA	BToWo			
부끄럽다	VA	BToWo			
부드럽다	VA	BToWo			
부럽다	VA	BToWo			
부르다	VA	ReuDoubleL			
부어오르다	VV	ReuDoubleL			
부옇다	VA	DropH			
분지르다	VV	ReuDoubleL			
붇다	VV	DToL			
불사르다	VV	ReuDoubleL			
불타오르다	VV	ReuDoubleL			
붓다	VV	DropS			
빨갛다	VA	DropH			
뻗쳐오르다	VV	ReuDoubleL			
뽀얗다	VA	DropH			
뿌옇다	VA	DropH			
사납다	VA	BToWo			
사르다	VV	ReuDoubleL			
살갑다	VA	BToWo			
새겨듣다	VV	DToL			
새까맣다	VA	DropH			
새빨갛다	VA	DropH			
새카맣다	VA	DropH			
새파랗다	VA	DropH			
새하얗다	VA	DropH			
색다르다	VA	ReuDoubleL			
샛노랗다	VA	DropH			
서두르다	VV	ReuDoubleL			
서럽다	VA	BToWo			
서투르다	VA	ReuDoubleL			
섣부르다	VA	ReuDoubleL			
성마르다	VA	ReuDoubleL			
손쉽다	VA	BToWo			
솟아오르다	VV	ReuDoubleL			
시끄럽다	VA	BToWo			
싱겁다	VA	BToWo			
싱그럽다	VA	BToWo			
싸느랗다	VA	DropH			
싸지르다	VV	ReuDoubleL			
아깝다	VA	BToWo			
아니꼽다	VA	BToWo			
아리땁다	VA	BToWo			
아무렇다	VA	DropH			
아우르다	VV	ReuDoubleL			
안쓰럽다	VA	BToWo			
안타깝다	VA	BToWo			
알아듣다	VV	DToL			
앓아눕다	VV	BToWo			
앞지르다	VV	ReuDoubleL			
약삭빠르다	VA	ReuDoubleL			
얄밉다	VA	BToWo			
양지바르다	VA	ReuDoubleL			
어둡다	VA	BToWo			
어렵다	VA	BToWo			
어르다	VV	ReuDoubleL			
어지럽다	VA	BToWo			
어지르다	VV	ReuDoubleL			
억누르다	VV	ReuDoubleL			
얻어듣다	VV	DToL			
엎지르다	VV	ReuDoubleL			
여쭙다	VV	BToWo			
역겹다	VA	BToWo			
엿듣다	VV	DToL			
올바르다	VA	ReuDoubleL			
요렇다	VA	DropH			
우습다	VA	BToWo			
으르다	VV	ReuDoubleL			
