surface	headwords	categories	krdict_ids	stdict_ids	opendict_ids
ㄴ	-ㄴ|-ㄴ-|-ㄴ-03|-ㄴ04|-ㄴ05	final|unclassified	66461|73877|78634	57936:57936001|57937:57937001|57938:57938001	112021|112022|112024|1357932|35986|8421
ㄴ가	-ㄴ가	final	80961	403618:403618001	112218|1818800|36031|8422
ㄴ감	-ㄴ감	final	73878	57941:57941001	379678
ㄴ걸	-ㄴ걸	final	81045	57769:57769001	404799|407887
ㄴ고	-ㄴ고	final	73889	406191:406191001	112219|331693|334718
ㄴ다	-ㄴ다|-ㄴ다01|-ㄴ다02	final	73909|85033	405873:405873001|57833:57833001	112224|343186|563675
ㄴ다고	-ㄴ다고|-ㄴ다고01|-ㄴ다고02	connective|final	74683|86060	57035:57035001|57834:57834001	36043|36044|63362|8572|8573
ㄴ다나	-ㄴ다나	final	74691	57754:57754001	490293
ㄴ다네	-ㄴ다네	final	75148	408510:408510001	563696
ㄴ다느니	-ㄴ다느니	connective	86069	57037:57037001	112409
ㄴ다니	-ㄴ다니|-ㄴ다니01|-ㄴ다니02	final	75258|85106	408511:408511001|57039:57039001	112411|416354
ㄴ다니까	-ㄴ다니까	final	74685	407334:407334001	453392
ㄴ다더라	-ㄴ다더라	final	-	517872:517872001	599955
ㄴ다마는	-ㄴ다마는	connective	80325	57040:57040001	112413
ㄴ다만	-ㄴ다만	connective|unclassified	80326	57090:57090001	112596
ㄴ다며	-ㄴ다며	final|unclassified	81460	57864:57864001	563713
ㄴ다면	-ㄴ다면	connective	66956	56085:56085001	112597
ㄴ다면서	-ㄴ다면서	final	81455	403487:403487001	112599
ㄴ다손	-ㄴ다손	connective	-	56086:56086001	112600
ㄴ다오	-ㄴ다오	final	77931	56087:56087001	112601
ㄴ다지	-ㄴ다지	final	76575	403621:403621001	112603
ㄴ단다	-ㄴ단다	final	79247	405343:405343001	379717
ㄴ담	-ㄴ담	final	73881	56091:56091001	112790
ㄴ답니까	-ㄴ답니까	final	78782	56146:56146001	379739
ㄴ답니다	-ㄴ답니다	final	81377	405344:405344001	563738
ㄴ답시고	-ㄴ답시고	connective	80316	57244:57244001	112794
ㄴ대	-ㄴ대	final|unclassified	81514	408033:408033001	112795|416395
ㄴ대요	-ㄴ대요	final	81127	57249:57249001	112797
ㄴ댄다	-ㄴ댄다	final|unclassified	-	57250:57250001	112993
ㄴ데	-ㄴ데	connective|final	85132	408038:408038001	1359698|36089|8611
ㄴ뎁쇼	-ㄴ뎁쇼	final	-	57517:57517001	526995
ㄴ들	-ㄴ들|-ㄴ들02	connective	80346	405933:405933001	563762
ㄴ바	-ㄴ바	connective	87110	406089:406089001	441744|444892
ㄴ즉	-ㄴ즉|-ㄴ즉02	connective	-	59057:59057001	113177
ㄴ즉슨	-ㄴ즉슨|-ㄴ즉슨02	unclassified	-	59058:59058001	113178
ㄴ지	-ㄴ지	connective|final	87429	407937:407937001	404807|407902
ㄴ지고	-ㄴ지고	final	-	59059:59059001	441758|444896
ㄴ지라	-ㄴ지라	connective	-	405350:405350001	36132|8649
ㄹ	-ㄹ|-ㄹ03	unclassified	69057	99265:99265001	440829|445234
ㄹ가	-ㄹ가	final|unclassified	-	99266:99266001	39283|456476|743
ㄹ거나	-ㄹ거나	final	80972	100313:100313001	140373
ㄹ걸	-ㄹ걸	final	76460	419519:419519001	551232|555507
ㄹ게	-ㄹ게	final	80987	100314:100314001	346314
ㄹ고	-ㄹ고	final|unclassified	-	100315:100315001	140374|39284|744
ㄹ까	-ㄹ까	final	86335	100327:100327001	39285|745
ㄹ깝쇼	-ㄹ깝쇼	final	-	419520:419520001	140375
ㄹ꺼나	-ㄹ꺼나	final|unclassified	-	100328:100328001	140376
ㄹ께	-ㄹ께	final|unclassified	-	100390:100390001	140377
ㄹ꼬	-ㄹ꼬	final	81032	419521:419521001	440997|445175
ㄹ꾸	-ㄹ꾸	final|unclassified	-	100391:100391001	1268243|140378
ㄹ는지	-ㄹ는지	connective|final	86488	414500:414500001	407257|410771|419517
ㄹ데라니	-ㄹ데라니	final	-	98544:98544001	346342
ㄹ라	-ㄹ라	final|unclassified	77345	99220:99220001	137683|456222|529655
ㄹ라고	-ㄹ라고	final	79417	418946:418946001	137684
ㄹ라면	-ㄹ라면	connective|unclassified	-	99224:99224001	1268233|137685
ㄹ라치면	-ㄹ라치면	connective	86489	418947:418947001	137688
ㄹ락	-ㄹ락	connective|unclassified	86490	98659:98659001	137689|382478
ㄹ래	-ㄹ래	final	81068	99324:99324001	529679
ㄹ랴고	-ㄹ랴고	connective|final|unclassified	-	99328:99328001	1268234|1268235|382507
ㄹ러니	-ㄹ러니	connective	-	99329:99329001	137894
ㄹ러라	-ㄹ러라	final|unclassified	-	418939:418939001	137895|419214
ㄹ런가	-ㄹ런가	final|unclassified	-	418913:418913001	1575|38817
ㄹ런고	-ㄹ런고	unclassified	-	98938:98938001	138095
ㄹ런지	-ㄹ런지	connective|final|unclassified	-	98939:98939001	1268238|1268240|138096
ㄹ레	-ㄹ레	final	-	418918:418918001	404004|408209
ㄹ레라	-ㄹ레라	final	-	98941:98941001	419241
ㄹ려고	-ㄹ려고	connective|final|unclassified	-	98736:98736001	1268236|1268237|419242
ㄹ려면	-ㄹ려면	connective|unclassified	-	98737:98737001	1268241|493186
ㄹ려야	-ㄹ려야	unclassified	-	98738:98738001	138098
ㄹ망정	-ㄹ망정	connective	80277	421148:421148001	529703
ㄹ밖에	-ㄹ밖에	final	85762	97777:97777001	382531
ㄹ뿐더러	-ㄹ뿐더러	connective	74341	98619:98619001	566605
ㄹ사	-ㄹ사	connective|final	-	419916:419916001	138316|61806
ㄹ사록	-ㄹ사록	connective|unclassified	-	98323:98323001	419272
ㄹ새	-ㄹ새	connective	-	98324:98324001	138317
ㄹ세	-ㄹ세|-ㄹ세01|-ㄹ세02	final	79278	419036:419036001|98326:98326001	346092|440924|445187
