surface	headwords	krdict_ids	stdict_ids	opendict_ids	stdict_statuses	opendict_statuses	krdict_hosts	stdict_hosts	opendict_hosts
ㄴ	ㄴ|ㄴ02	85847	406398:406398001	112023:1|478738:1|481765:1|484761:1	일반어	옛말|일반어	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
ㄴ들	ㄴ들|ㄴ들01	70267	58172:58172001	112999:1	일반어	일반어	-	adverb|nominal	adverb|nominal
ㄴ즉	ㄴ즉|ㄴ즉01	-	59013:59013001	343283:1	일반어	일반어	-	nominal	nominal
ㄴ즉슨	ㄴ즉-슨|ㄴ즉-슨01	-	407936:407936001	527014:1	일반어	일반어	-	nominal	nominal
ㄴ커녕	ㄴ커녕	70315	59060:59060001	490380:1	일반어	일반어	-	adverb|nominal	adverb|nominal
ㄹ	ㄹ|ㄹ02	85760	419536:419536001	140145:1|30459:1|61518:1|68709:1|70971:1|71994:1|72429:1|72868:1|72946:1|73288:1	일반어	일반어	adverb|predicate-ending	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
ㄹ더러	ㄹ더러	86078	-	-	-	-	-	-	-
ㄹ랑	ㄹ랑	86492	418925:418925001	346048:1	일반어	일반어	-	nominal|predicate-ending	nominal|predicate-ending
ㄹ랑은	ㄹ랑-은|ㄹ랑은	89694	98664:98664001	137890:1	일반어	일반어	-	-	-
가	가|가11	66341	382734:382734001	29324:1|61174:1|72797:1|72839:1|72840:1	일반어	옛말|일반어	adverb|nominal	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
같이	같-이|같이	22776	389853:389853002	3011:1|31387:1	일반어	일반어	-	nominal	nominal
거나	거나|거나02	66462	13110:13110001	486753:1	일반어	일반어	-	predicate-ending	predicate-ending
게	게|게07	66937	395323:395323001	331246:1|334417:1|337703:1	일반어	일반어	-	nominal	nominal
게로	게-로|게로	66970	15740:15740001	83668:1	일반어	일반어	-	nominal	nominal
게서	게-서|게-서01|게서	66974	391683:391683001	83883:1	일반어	일반어	-	nominal	nominal
고	고|고23|고24	66985|66986	22665:22665001|399120:399120001	87308:1|87309:1|87314:1	일반어	옛말|일반어	-	nominal|predicate-ending	nominal|predicate-ending
곧	곧|곧02	-	26875:26875001	91148:1	일반어	일반어	-	nominal	nominal
과	과|과12	78624	398563:398563001	517875:1|521336:1|522081:1|524947:1	일반어	일반어	-	-	-
그래	그래|그래02	83913	44450:44450001	102112:1	일반어	일반어	-	predicate-ending	predicate-ending
그려	그려	83914	44637:44637001	452385:1	일반어	일반어	-	predicate-ending	predicate-ending
까지	까지	69698	403833:403833001	36146:1|63719:1|8445:1	일반어	일반어	-	adverb|nominal	adverb|nominal
깨나	깨나	69715	53640:53640001	489988:1	일반어	일반어	-	-	-
께	께|께01	69701	403851:403851001	35787:1|416064:1|63158:1|8207:1	일반어	방언|일반어	-	-	-
께서	께서	73012	54608:54608001	110058:1	일반어	일반어	-	nominal	nominal
께압서	께압서	-	54241:54241001	110059:1	일반어	일반어	-	-	-
께오서	께오서	-	403991:403991001	110061:1	일반어	일반어	-	-	-
께옵서	께옵서	-	53941:53941001	110062:1	일반어	일반어	-	-	-
끄정	끄정	-	56602:56602001	113133:1|1333284:1|1333285:1	일반어	일반어	-	-	-
나	나|나09	89218	408196:408196001	113545:1|1360010:1|29895:1|60899:1|68411:1|70808:1|72351:1|72863:1|72939:1	일반어	일반어	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
나마	나마|나마07	70309	406487:406487001	343071:1	일반어	일반어	-	adverb|nominal	adverb|nominal
는	는|는01	85851	406525:406525001	274:1|37717:1|64128:1	일반어	일반어	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
는커녕	는-커녕|는커녕	70316	70048:70048001	120732:1	일반어	일반어	-	adverb|nominal	adverb|nominal
니	니|니01	80129	406528:406528001	123460:1	일반어	일반어	-	nominal	nominal
다	다|다04|다05	41693|85738	410583:410583001|73400:73400001	123058:1|123059:1	일반어	일반어	-	nominal	nominal
다가	다가|다가02	41695	407890:407890001	123062:1|273:1|37716:1|64127:1|69507:1	일반어	옛말|일반어	-	nominal|predicate-ending	nominal|predicate-ending
대로	대로|대로10	48410	78254:78254001	37395:1|7949:1	일반어	일반어	-	nominal	nominal
더러	더러|더러02	70037	83011:83011001	129255:1	일반어	일반어	-	nominal	nominal
도	도|도14	86258	415325:415325001	38723:1|64036:1|68998:1|71814:1|72487:1|7745:1	일반어	일반어	-	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
도고	도고|도고01	-	83959:83959001	127824:1	일반어	일반어	-	-	nominal
두	두|두09	-	92019:92019001	1272393:1|1272394:1|1272395:1|1272396:1|1272397:1|131105:1	일반어	일반어	-	-	adverb|nominal|predicate-ending
든	든|든01	86261	417924:417924001	345883:1	일반어	일반어	-	-	-
든가	든가|든가01	70330	94883:94883001	136292:1	일반어	일반어	-	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
든지	든지|든지01	70334	94197:94197001	419070:1	일반어	일반어	-	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
들	들|들04	86264	93743:93743001	136904:1	일반어	일반어	-	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
따라	따라	70311	96050:96050001	137414:1	일반어	일반어	-	nominal	nominal
라	라|라05	70077	100102:100102001	139955:1	일반어	일반어	-	-	-
라고	라고|라고01|라고02	70074|86366	415352:415352001|415361:415361001	140147:1|440827:1|445218:1|448119:1|448753:1	일반어	일반어	-	nominal	nominal
라도	라도|라도01	78508	419482:419482001	39191:1|725:1	일반어	일반어	-	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
라든가	라든가	-	518735:518735001	1175436:1	일반어	일반어	-	adverb|nominal	adverb|nominal
라든지	라든지	86518	99496:99496001	456207:1	일반어	일반어	-	adverb|nominal	adverb|nominal
라서	라서|라서01	-	100105:100105001	139365:1	일반어	일반어	-	nominal	nominal
라야	라야|라야01	86520	100571:100571001	140166:1|589935:1	일반어	일반어	adverb|nominal	adverb|nominal	adverb|nominal
라야만	라야-만|라야-만01|라야만	86066	99993:99993001	140389:1	일반어	일반어	-	nominal	nominal
